,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
0,1, Sec-17 Rohini, 1 - Block-A Pkt-3 , Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2, Sec-17 Rohini, 1 - Block-A Pkt-4 , Rohini Sector-17, 2 - Block-A Pkt-5, Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3, Sec-17 Rohini, 1 - B-Block Pkt-1, Rohini Sector-17, 2 - Elder Home Society-4, Sector-17 Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4, Sec-17 Rohini, 1 - B-Block Pkt-2, Rohini Sector-17, 2 - Police Chowki, Sector -17, Rohini, 3 - B-Block Pkt-5 Sector -17, Rohini, 4 - B-Block Pkt-3, Rohini Sector-17, 5 - B-4, Sector -17, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5, Sec-17 Rohini, 1 - B-Block Pkt-6 , Rohini Sector-17, 2 - Shahbad Extension Near B-Block Pkt-6, Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6, Sec-17 Rohini, 1 - A-Block Pkt-6, Rohini Sector-17, 2 - A-Block Pkt-8, Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7, Sec-16 Rohini, 1 - A-Block Pkt-7, Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8, Sec-17 Rohini, 1 - A-Block Pkt-1, Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9, Sec-17 Rohini, 1 - A-Block Pkt-2, Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10, Sec-17 Rohini, 1 - Block-B Pkt-7, Rohini Sector-17, 2 - Block-B Pkt-7A, Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11, Sec-17 Rohini, 1 - Block-C Pkt-1, Rohini Sector-17, 2 - Block-C, Pkt-2, Rohini Sector 17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12, Sec-17 Rohini, 1 - Block-A, Amar Jyoti Colony, Rohini Sector-17, 2 - Block-B, Amar Jyoti Colony, Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13, Sec-17 Rohini, 1 - Block-C, Amar Jyoti Colony, Rohini Sector-17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14, Rohini Sector-16, 1 - Block- J, Sardar Colony, Rohini Sector-16, 2 - Block- J, Shri Krishna Appt., Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15, Rohini Sector-16, 1 - Block- J, Sardar Colony, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16, Rohini Sector-16, 1 - Block- J, Sardar Colony, Rohini Sector-16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17, Rohini Sector-16, 1 - Block-J, Sector-16, Rohini],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
